"date","line","station_name","get_in","get_off"
"531",20170601,"6호선","약수",4261,4071
"532",20170601,"6호선","청구",4377,4869
"533",20170601,"6호선","신당",9225,9855
"534",20170601,"6호선","동묘앞",9212,9435
"535",20170601,"6호선","창신",4418,3786
"536",20170601,"6호선","보문",9922,8970
"537",20170601,"6호선","안암(고대병원앞)",17643,18078
"538",20170601,"6호선","고려대(종암)",11617,11394
"539",20170601,"6호선","월곡(동덕여대)",15905,14847
"540",20170601,"6호선","상월곡(한국과학기술연구원)",7691,7413
"541",20170601,"6호선","돌곶이",10992,10217
"542",20170601,"안산선","수리산",5592,4247
"543",20170601,"일산선","원흥",8989,7974
"544",20170601,"일산선","삼송",16507,15580
"545",20170601,"일산선","원당",13848,13317
"546",20170601,"일산선","화정",21897,22993
"547",20170601,"일산선","대곡",2058,1455
"548",20170601,"일산선","백석",12904,12717
"549",20170601,"4호선","명동",37573,40458
"550",20170601,"4호선","회현(남대문시장)",35027,37380
"551",20170601,"4호선","서울역",14249,21932
"552",20170601,"4호선","숙대입구(갈월)",21204,21037
"553",20170601,"4호선","삼각지",6038,7128
"554",20170601,"4호선","신용산",14257,14923
"555",20170601,"4호선","이촌(국립중앙박물관)",10055,11306
"556",20170601,"4호선","동작(현충원)",3227,3448
"557",20170601,"4호선","총신대입구(이수)",25103,28208
"558",20170601,"4호선","사당",33519,28397
"559",20170601,"4호선","남태령",2838,1335
"560",20170601,"5호선","방화",8419,8019
"561",20170601,"5호선","개화산",6733,6300
"562",20170601,"5호선","김포공항",7355,6546
"563",20170601,"5호선","송정",10577,10165
"564",20170601,"5호선","마곡",7041,6129
"565",20170601,"5호선","발산",15696,15524
"566",20170601,"5호선","우장산",18300,17906
"567",20170601,"5호선","화곡",33979,31091
"568",20170602,"3호선","매봉",14392,14088
"569",20170602,"3호선","도곡",8295,7969
"570",20170602,"3호선","대치",14650,14195
"571",20170602,"3호선","학여울",4744,4950
"572",20170602,"3호선","대청",12679,10918
"573",20170602,"3호선","일원",11257,11172
"574",20170602,"3호선","수서",21599,20628
"575",20170602,"3호선","가락시장",12350,12205
"576",20170602,"3호선","경찰병원",9430,9173
"577",20170602,"3호선","오금",8660,7688
"578",20170602,"4호선","당고개",15365,14329
"579",20170602,"4호선","상계",25786,22876
"580",20170602,"4호선","노원",26862,31519
"581",20170602,"4호선","창동",35606,38189
"582",20170602,"4호선","쌍문",40415,34893
"583",20170602,"4호선","수유(강북구청)",54276,52940
"584",20170602,"4호선","미아(서울사이버대학)",22548,20274
"585",20170602,"4호선","미아사거리",38174,37104
"586",20170602,"4호선","길음",33422,31941
"587",20170602,"4호선","성신여대입구(돈암)",32432,29768
"588",20170602,"4호선","한성대입구(삼선교)",20470,19309
"589",20170602,"4호선","혜화",48894,50499
"590",20170602,"4호선","동대문",30099,30785
"591",20170602,"4호선","동대문역사문화공원",25588,24317
"592",20170602,"4호선","충무로",40810,42136
"593",20170602,"4호선","명동",41600,44540
"594",20170602,"4호선","회현(남대문시장)",36315,38789
"595",20170602,"4호선","서울역",15150,25304
"596",20170602,"4호선","숙대입구(갈월)",20780,20246
"597",20170602,"4호선","삼각지",6233,7434
"598",20170602,"4호선","신용산",15679,16421
"599",20170602,"4호선","이촌(국립중앙박물관)",11294,12744
"600",20170602,"4호선","동작(현충원)",3980,4125
"601",20170602,"4호선","총신대입구(이수)",26971,30318
"602",20170602,"4호선","사당",35674,30030
"603",20170602,"4호선","남태령",3217,1389
"604",20170602,"2호선","봉천",27583,24589
